Player,Champion,Role,Pick Ban,Blue Red,Order,Series #,Game #,Kills,Deaths,Assists,CS,Vision Score,Fantasy Score,Damage Dealt
,Rengar,,Ban,Blue,1,1,1,,,,,,0,
,Xin Zhao,,Ban,Red,1,1,1,,,,,,0,
,Riven,,Ban,Blue,2,1,1,,,,,,0,
,Yasuo,,Ban,Red,2,1,1,,,,,,0,
,Jhin,,Ban,Blue,3,1,1,,,,,,0,
,Pantheon,,Ban,Red,3,1,1,,,,,,0,
Woosung,Malphite,Top,Pick,Blue,1,1,1,5,3,17,251,50,50.01,16772
Anthony,Jinx,Bottom,Pick,Red,1,1,1,10,7,4,306,17,30.91,25515
Sam,Nami,Support,Pick,Red,1,1,1,0,8,16,16,104,13.36,6486
Declan,Ashe,Bottom,Pick,Blue,2,1,1,11,4,10,228,46,56.58,24205
Miggy,Morgana,Support,Pick,Blue,2,1,1,3,9,10,24,49,7.69,8184
Basil,Kennen,Top,Pick,Red,2,1,1,4,7,11,266,32,21.26,29410
,Orianna,,Ban,Red,4,1,1,,,,,,0,
,Jax,,Ban,Blue,4,1,1,,,,,,0,
,Singed,,Ban,Red,5,1,1,,,,,,0,
,Kha'zix,,Ban,Red,5,1,1,,,,,,0,
Quio,Graves,Jungle,Pick,Red,3,1,1,8,7,5,301,54,26.71,26807
Bwosley,Swain,Mid,Pick,Blue,3,1,1,8,6,7,191,29,31.36,19127
Jason,Jarvan IV,Jungle,Pick,Blue,3,1,1,13,1,16,319,63,87.34,28766
Cobi,Malzahar,Mid,Pick,Red,4,1,1,1,11,7,277,21,-11.18,13549
,,,,,,,,,,,,,,
,Malphite,,Ban,Blue,1,2,1,,,,,,0,
,Rengar,,Ban,Red,1,2,1,,,,,,0,
,Mordekaiser,,Ban,Blue,2,2,1,,,,,,0,
,Riven,,Ban,Red,2,2,1,,,,,,0,
,Vi,,Ban,Blue,3,2,1,,,,,,0,
,Jhin,,Ban,Red,3,2,1,,,,,,0,
Anthony,Kai'sa,Bottom,Pick,Blue,1,2,1,10,6,6,235,33,38,25322
